prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2017-07-01,03:55,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.16; MSAS at inflection=16.59; depression=8.88°; smoothing=5-pt median; dark rows=439
isha,2017-07-17,20:26,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.10; MSAS at inflection=15.71; depression=7.90°; smoothing=5-pt median; dark rows=863
fajr,2017-07-18,03:52,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.10; MSAS at inflection=17.81; depression=11.25°; smoothing=5-pt median; dark rows=863
isha,2017-07-19,20:30,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.52; MSAS at inflection=16.51; depression=8.76°; smoothing=5-pt median; dark rows=880
isha,2017-07-20,22:05,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.00; MSAS at inflection=17.10; depression=21.43°; smoothing=5-pt median; dark rows=877
isha,2017-07-22,21:01,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.46; MSAS at inflection=18.31; depression=13.87°; smoothing=5-pt median; dark rows=893
fajr,2017-07-23,02:34,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.46; MSAS at inflection=18.49; depression=21.96°; smoothing=5-pt median; dark rows=893
isha,2017-07-23,21:38,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.56; MSAS at inflection=18.38; depression=18.85°; smoothing=5-pt median; dark rows=887
fajr,2017-07-24,03:22,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.56; MSAS at inflection=18.56; depression=16.45°; smoothing=5-pt median; dark rows=887
isha,2017-07-25,20:45,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.68; MSAS at inflection=18.23; depression=12.05°; smoothing=5-pt median; dark rows=903
fajr,2017-07-28,04:13,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.28; MSAS at inflection=17.26; depression=9.68°; smoothing=5-pt median; dark rows=914
isha,2017-07-01,22:01,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=20.69; MSAS at inflection=20.19; depression=21.51°; smoothing=5-pt median; dark rows=439
fajr,2017-07-02,03:20,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=20.69; MSAS at inflection=21.23; depression=16.83°; smoothing=5-pt median; dark rows=439
fajr,2017-07-03,03:44,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=20.35; MSAS at inflection=20.71; depression=13.57°; smoothing=5-pt median; dark rows=439
fajr,2017-07-04,02:53,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=19.97; MSAS at inflection=21.23; depression=20.37°; smoothing=5-pt median; dark rows=438
isha,2017-07-04,20:42,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=19.41; MSAS at inflection=18.23; depression=10.89°; smoothing=5-pt median; dark rows=448
isha,2017-07-05,20:28,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=18.42; MSAS at inflection=16.99; depression=8.82°; smoothing=5-pt median; dark rows=446
fajr,2017-07-06,04:14,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=18.42; MSAS at inflection=18.90; depression=9.20°; smoothing=5-pt median; dark rows=446
isha,2017-07-07,20:52,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=18.34; MSAS at inflection=18.35; depression=12.51°; smoothing=5-pt median; dark rows=450
isha,2017-07-08,21:53,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=17.94; MSAS at inflection=18.05; depression=20.92°; smoothing=5-pt median; dark rows=452
fajr,2017-07-09,04:10,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=17.94; MSAS at inflection=17.78; depression=10.16°; smoothing=5-pt median; dark rows=452
isha,2017-07-09,21:00,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=18.21; MSAS at inflection=18.91; depression=13.97°; smoothing=5-pt median; dark rows=451
fajr,2017-07-11,03:52,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=18.38; MSAS at inflection=18.39; depression=13.13°; smoothing=5-pt median; dark rows=455
fajr,2017-07-12,04:02,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=18.53; MSAS at inflection=18.08; depression=11.75°; smoothing=5-pt median; dark rows=449
isha,2017-07-20,20:37,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=21.22; MSAS at inflection=19.50; depression=11.50°; smoothing=5-pt median; dark rows=468
isha,2017-07-21,20:33,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=21.19; MSAS at inflection=19.01; depression=10.98°; smoothing=5-pt median; dark rows=467
isha,2017-07-22,20:44,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=20.96; MSAS at inflection=20.12; depression=12.86°; smoothing=5-pt median; dark rows=441
fajr,2017-07-23,03:45,0,36.95,-4.55,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars11; photometric inflection method; night median MSAS=20.96; MSAS at inflection=21.14; depression=15.90°; smoothing=5-pt median; dark rows=441
fajr,2017-07-08,03:53,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=17.67; MSAS at inflection=18.35; depression=12.94°; smoothing=5-pt median; dark rows=456
isha,2017-07-10,20:46,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=17.61; MSAS at inflection=17.99; depression=12.05°; smoothing=5-pt median; dark rows=460
isha,2017-07-13,20:17,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=17.80; MSAS at inflection=15.33; depression=7.69°; smoothing=5-pt median; dark rows=464
isha,2017-07-16,21:21,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.26; MSAS at inflection=18.23; depression=17.94°; smoothing=5-pt median; dark rows=469
fajr,2017-07-17,04:12,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.26; MSAS at inflection=17.82; depression=11.07°; smoothing=5-pt median; dark rows=469
isha,2017-07-19,21:00,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.83; MSAS at inflection=18.45; depression=15.19°; smoothing=5-pt median; dark rows=471
fajr,2017-07-20,04:10,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.83; MSAS at inflection=18.50; depression=11.72°; smoothing=5-pt median; dark rows=471
isha,2017-07-20,20:55,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.71; MSAS at inflection=18.39; depression=14.65°; smoothing=5-pt median; dark rows=469
fajr,2017-07-21,04:20,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.71; MSAS at inflection=17.83; depression=10.33°; smoothing=5-pt median; dark rows=469
isha,2017-07-22,21:02,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.31; MSAS at inflection=18.23; depression=15.86°; smoothing=5-pt median; dark rows=476
fajr,2017-07-23,04:24,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.31; MSAS at inflection=17.55; depression=9.95°; smoothing=5-pt median; dark rows=476
fajr,2017-07-28,03:22,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.40; MSAS at inflection=18.45; depression=20.34°; smoothing=5-pt median; dark rows=472
isha,2017-07-29,20:49,0,36.61,-4.52,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars12; photometric inflection method; night median MSAS=18.51; MSAS at inflection=18.06; depression=15.10°; smoothing=5-pt median; dark rows=489
isha,2017-07-02,21:51,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=20.04; MSAS at inflection=19.17; depression=18.88°; smoothing=5-pt median; dark rows=437
isha,2017-07-04,22:02,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=19.19; MSAS at inflection=18.57; depression=20.27°; smoothing=5-pt median; dark rows=440
isha,2017-07-05,22:09,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=17.71; MSAS at inflection=17.74; depression=21.16°; smoothing=5-pt median; dark rows=439
fajr,2017-07-18,02:49,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=20.00; MSAS at inflection=19.57; depression=21.93°; smoothing=5-pt median; dark rows=456
isha,2017-07-19,21:41,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=20.52; MSAS at inflection=20.38; depression=19.32°; smoothing=5-pt median; dark rows=461
fajr,2017-07-20,04:06,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=20.52; MSAS at inflection=19.44; depression=11.81°; smoothing=5-pt median; dark rows=461
fajr,2017-07-23,04:21,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=20.35; MSAS at inflection=17.93; depression=10.01°; smoothing=5-pt median; dark rows=465
fajr,2017-07-24,04:21,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=20.28; MSAS at inflection=17.95; depression=10.10°; smoothing=5-pt median; dark rows=463
isha,2017-07-29,21:41,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=20.35; MSAS at inflection=19.91; depression=21.06°; smoothing=5-pt median; dark rows=478
fajr,2017-07-30,04:18,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=20.35; MSAS at inflection=19.24; depression=11.57°; smoothing=5-pt median; dark rows=478
isha,2017-07-30,21:30,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=20.39; MSAS at inflection=19.59; depression=19.84°; smoothing=5-pt median; dark rows=480
fajr,2017-07-01,02:30,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.12; MSAS at inflection=16.97; depression=19.45°; smoothing=5-pt median; dark rows=228
isha,2017-07-08,20:32,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=17.94; MSAS at inflection=16.27; depression=7.94°; smoothing=5-pt median; dark rows=852
isha,2017-07-09,20:44,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.07; MSAS at inflection=17.55; depression=9.70°; smoothing=5-pt median; dark rows=855
fajr,2017-07-10,03:42,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.07; MSAS at inflection=18.17; depression=11.72°; smoothing=5-pt median; dark rows=855
fajr,2017-07-11,03:52,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.27; MSAS at inflection=18.04; depression=10.44°; smoothing=5-pt median; dark rows=858
isha,2017-07-11,21:34,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.36; MSAS at inflection=18.38; depression=16.63°; smoothing=5-pt median; dark rows=859
fajr,2017-07-15,03:29,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.32; MSAS at inflection=18.16; depression=14.08°; smoothing=5-pt median; dark rows=871
fajr,2017-07-16,04:05,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.41; MSAS at inflection=17.33; depression=9.19°; smoothing=5-pt median; dark rows=874
fajr,2017-07-17,03:46,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.16; MSAS at inflection=18.09; depression=12.10°; smoothing=5-pt median; dark rows=878
fajr,2017-07-18,03:59,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.11; MSAS at inflection=17.81; depression=10.38°; smoothing=5-pt median; dark rows=881
fajr,2017-07-20,03:43,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.62; MSAS at inflection=18.66; depression=12.94°; smoothing=5-pt median; dark rows=888
isha,2017-07-20,21:16,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=17.93; MSAS at inflection=17.66; depression=15.38°; smoothing=5-pt median; dark rows=884
isha,2017-07-23,20:37,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.70; MSAS at inflection=17.83; depression=10.32°; smoothing=5-pt median; dark rows=904
fajr,2017-07-25,04:17,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.83; MSAS at inflection=17.14; depression=8.73°; smoothing=5-pt median; dark rows=909
isha,2017-07-28,20:25,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.73; MSAS at inflection=17.48; depression=9.37°; smoothing=5-pt median; dark rows=926
fajr,2017-07-29,04:13,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.73; MSAS at inflection=18.03; depression=10.07°; smoothing=5-pt median; dark rows=926
isha,2017-07-29,20:16,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.53; MSAS at inflection=16.65; depression=8.11°; smoothing=5-pt median; dark rows=931
fajr,2017-07-31,03:59,0,40.45098,-3.726072,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars17; photometric inflection method; night median MSAS=18.41; MSAS at inflection=18.37; depression=12.50°; smoothing=5-pt median; dark rows=936
isha,2017-06-30,20:25,-7,32.223877,-110.767532,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars19; photometric inflection method; night median MSAS=20.14; MSAS at inflection=17.92; depression=10.20°; smoothing=5-pt median; dark rows=445
isha,2017-07-01,21:20,-7,32.223877,-110.767532,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars19; photometric inflection method; night median MSAS=19.84; MSAS at inflection=19.37; depression=18.99°; smoothing=5-pt median; dark rows=457
fajr,2017-07-02,03:59,-7,32.223877,-110.767532,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars19; photometric inflection method; night median MSAS=19.84; MSAS at inflection=20.18; depression=15.05°; smoothing=5-pt median; dark rows=457
fajr,2017-07-03,04:11,-7,32.223877,-110.767532,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars19; photometric inflection method; night median MSAS=19.48; MSAS at inflection=19.84; depression=13.23°; smoothing=5-pt median; dark rows=472
isha,2017-07-03,20:23,-7,32.223877,-110.767532,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars19; photometric inflection method; night median MSAS=19.20; MSAS at inflection=17.16; depression=9.88°; smoothing=5-pt median; dark rows=461
fajr,2017-07-04,04:10,-7,32.223877,-110.767532,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars19; photometric inflection method; night median MSAS=19.20; MSAS at inflection=19.89; depression=13.45°; smoothing=5-pt median; dark rows=461
isha,2017-07-04,21:06,-7,32.223877,-110.767532,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars19; photometric inflection method; night median MSAS=18.68; MSAS at inflection=17.29; depression=17.00°; smoothing=5-pt median; dark rows=455
